						
		VALORANT | Week 1 (February 22, 2026) | Groupstage				
						
		Match 1 (Group B)				
		1:30 PM - 3:30 PM				
		CEC		VS		USPF
		Cebu Eastern College		Game 1		University of Southern Philippines Foundation
				1:30 PM		
						
				Game 2		
				2:30 PM		
						
						
		Match 2 (Group A)				
		3:30 PM - 5:30 PM				
		USC		VS		CIT-U
		University of San Carlos		Game 1		Cebu Institute of Technology - University
				3:30 PM		
						
				Game 2		
				4:30 PM		
						
						
		Match 3 (Group B)				
		5:30 PM - 7:30 PM				
		CDU		VS		USJ-R
		Cebu Doctors' University		Game 1		University of San Jose - Recoletos
				5:30 PM		
						
				Game 2		
				6:30 PM		
